Metric,Mean,Standard Deviation
cumulative-layout-shift,0.0729775328573718,0.039454738946561756
first-contentful-paint,782.9724222222221,25.624162151995264
interactive,5816.738961616162,697.7958713591339
largest-contentful-paint,1245.518992929293,450.22477552344515
resource-size,141952.0,0.0
server-response-time,33.42551515151516,6.503744275358456
speed-index,939.2564023169248,195.0479273485866
total-blocking-time,46.960979797979796,12.794409577958936
transfer-size,140851.46464646465,14273.446548529804
